z psi1 psi2 psi3 psi4 psi5
-1.964464464464464655e+00 6.643351307013601399e+03 -1.253073334379648077e+04 1.699220106629867951e+04 1.952006890961527824e+04 1.982668201330744705e+04
-1.959459459459459651e+00 6.702457053962320970e+03 -1.262816825010887442e+04 1.709040452996394015e+04 1.957203842540617552e+04 1.978547379402813021e+04
-1.954454454454454648e+00 6.761496782468611855e+03 -1.272510561354168385e+04 1.718709295664699312e+04 1.962092346140629888e+04 1.973939355385990348e+04
-1.949449449449449645e+00 6.820469910997831903e+03 -1.282154161481612391e+04 1.728225777507369276e+04 1.966671631351744145e+04 1.968845263970780070e+04
-1.944444444444444642e+00 6.879375858671335664e+03 -1.291747245440679217e+04 1.737589054903531360e+04 1.970940976495797804e+04 1.963266359538046891e+04
-1.939439439439439639e+00 6.938214045272236945e+03 -1.301289435269144269e+04 1.746798297813650788e+04 1.974899708740026472e+04 1.957204015850144788e+04
-1.934434434434434635e+00 6.996983891251053137e+03 -1.310780355009976847e+04 1.755852689853092306e+04 1.978547204203084038e+04 1.950659725712619911e+04
-1.929429429429429632e+00 7.055684817731462317e+03 -1.320219630726162904e+04 1.764751428364509411e+04 1.981882888053378338e+04 1.943635100606632841e+04
-1.924424424424424629e+00 7.114316246515993043e+03 -1.329606890515433588e+04 1.773493724488987573e+04 1.984906234599654999e+04 1.936131870292137683e+04
-1.919419419419419626e+00 7.172877600091729619e+03 -1.338941764524922291e+04 1.782078803235985470e+04 1.987616767373850598e+04 1.928151882381948599e+04
-1.914414414414414622e+00 7.231368301635947319e+03 -1.348223884965724210e+04 1.790505903552018208e+04 1.990014059206166712e+04 1.919697101886761811e+04
-1.909409409409409619e+00 7.289787775021828566e+03 -1.357452886127396232e+04 1.798774278388135644e+04 1.992097732292398723e+04 1.910769610731298235e+04
-1.904404404404404616e+00 7.348135444824247315e+03 -1.366628404392382981e+04 1.806883194766168526e+04 1.993867458253507357e+04 1.901371607241671882e+04
-1.899399399399399613e+00 7.406410736325288781e+03 -1.375750078250318620e+04 1.814831933843678053e+04 1.995322958187330369e+04 1.891505405604033513e+04
-1.894394394394394610e+00 7.464613075519921040e+03 -1.384817548312269719e+04 1.822619790977674711e+04 1.996464002712536603e+04 1.881173435294719093e+04
-1.889389389389389606e+00 7.522741889121663917e+03 -1.393830457324899726e+04 1.830246075787091468e+04 1.997290412004782775e+04 1.870378240482017645e+04
-1.884384384384384603e+00 7.580796604568262410e+03 -1.402788450184548310e+04 1.837710112213991306e+04 1.997802055825059870e+04 1.859122479399694930e+04
-1.879379379379379600e+00 7.638776650027351025e+03 -1.411691173951226847e+04 1.845011238583502200e+04 1.997998853540221899e+04 1.847408923692426833e+04
-1.874374374374374597e+00 7.696681454402057170e+03 -1.420538277862519135e+04 1.852148807662469699e+04 1.997880774135689717e+04 1.835240457733300354e+04
-1.869369369369369593e+00 7.754510447336650032e+03 -1.429329413347405170e+04 1.859122186716836950e+04 1.997447836220341196e+04 1.822620077913560817e+04
-1.864364364364364590e+00 7.812263059222094853e+03 -1.438064234039983057e+04 1.865930757567720502e+04 1.996700108023565554e+04 1.809550891904762466e+04
-1.859359359359359587e+00 7.869938721201788212e+03 -1.446742395793139440e+04 1.872573916646240468e+04 1.995637707384540045e+04 1.796036117893553455e+04
-1.854354354354354584e+00 7.927536865176950414e+03 -1.455363556692068778e+04 1.879051075046977348e+04 1.994260801733605695e+04 1.782079083789175274e+04
